
19-04-2016 21:19:01:224 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:10, Key:A)
19-04-2016 21:19:01:523 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:5, Key:D)
19-04-2016 21:19:01:523 - D: 	Beginning round processing
19-04-2016 21:19:01:523 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:01:523 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:01:523 - D: 	Detonating Bombs
19-04-2016 21:19:01:523 - D: 	Processing Player Commands
19-04-2016 21:19:01:523 - D: 	Applying player power ups
19-04-2016 21:19:01:523 - D: 	Destroying marked entities
19-04-2016 21:19:01:524 - I: 	Player PlayerEntity(X:6, Y:11, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:01:524 - I: 	Player PlayerEntity(X:6, Y:6, Key:D) has a movement coverage of 29,18% for the map
19-04-2016 21:19:01:524 - D: 	Round processing complete
