
19-04-2016 21:18:13:411 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:8, Y:14, Key:A)
19-04-2016 21:18:13:635 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:15, Key:D)
19-04-2016 21:18:13:635 - D: 	Beginning round processing
19-04-2016 21:18:13:635 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:13:635 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:13:635 - D: 	Detonating Bombs
19-04-2016 21:18:13:635 - D: 	Processing Player Commands
19-04-2016 21:18:13:635 - D: 	Applying player power ups
19-04-2016 21:18:13:635 - D: 	Destroying marked entities
19-04-2016 21:18:13:635 - I: 	Player PlayerEntity(X:8, Y:13, Key:A) has a movement coverage of 14,95% for the map
19-04-2016 21:18:13:635 - I: 	Player PlayerEntity(X:14, Y:14, Key:D) has a movement coverage of 15,66% for the map
19-04-2016 21:18:13:635 - D: 	Round processing complete
