
19-04-2016 21:18:40:900 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:16, Key:A)
19-04-2016 21:18:41:229 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:14, Key:D)
19-04-2016 21:18:41:229 - D: 	Beginning round processing
19-04-2016 21:18:41:229 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:41:229 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:41:229 - D: 	Detonating Bombs
19-04-2016 21:18:41:229 - D: 	Processing Player Commands
19-04-2016 21:18:41:229 - D: 	Applying player power ups
19-04-2016 21:18:41:229 - D: 	Destroying marked entities
19-04-2016 21:18:41:229 - I: 	Player PlayerEntity(X:4, Y:17, Key:A) has a movement coverage of 21,00% for the map
19-04-2016 21:18:41:229 - I: 	Player PlayerEntity(X:4, Y:14, Key:D) has a movement coverage of 22,42% for the map
19-04-2016 21:18:41:229 - D: 	Round processing complete
