
19-04-2016 21:18:37:796 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:4, Y:16, Key:A)
19-04-2016 21:18:38:048 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:16, Key:D)
19-04-2016 21:18:38:048 - D: 	Beginning round processing
19-04-2016 21:18:38:048 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:38:048 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:38:048 - D: 	Detonating Bombs
19-04-2016 21:18:38:048 - D: 	Processing Player Commands
19-04-2016 21:18:38:048 - D: 	Applying player power ups
19-04-2016 21:18:38:048 - D: 	Destroying marked entities
19-04-2016 21:18:38:048 - I: 	Player PlayerEntity(X:3, Y:16, Key:A) has a movement coverage of 20,64% for the map
19-04-2016 21:18:38:048 - I: 	Player PlayerEntity(X:6, Y:16, Key:D) has a movement coverage of 21,00% for the map
19-04-2016 21:18:38:048 - D: 	Round processing complete
