
19-04-2016 21:17:48:264 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:7, Y:12, Key:A)
19-04-2016 21:17:48:514 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:14, Y:10, Key:D)
19-04-2016 21:17:48:514 - D: 	Beginning round processing
19-04-2016 21:17:48:514 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:48:514 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:48:514 - D: 	Detonating Bombs
19-04-2016 21:17:48:514 - D: 	Processing Player Commands
19-04-2016 21:17:48:514 - D: 	Applying player power ups
19-04-2016 21:17:48:514 - D: 	Destroying marked entities
19-04-2016 21:17:48:514 - I: 	Player PlayerEntity(X:7, Y:12, Key:A) has a movement coverage of 11,39% for the map
19-04-2016 21:17:48:514 - I: 	Player PlayerEntity(X:15, Y:10, Key:D) has a movement coverage of 9,96% for the map
19-04-2016 21:17:48:514 - D: 	Round processing complete
