
19-04-2016 21:18:35:968 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:14, Key:A)
19-04-2016 21:18:36:204 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:10, Y:16, Key:D)
19-04-2016 21:18:36:204 - D: 	Beginning round processing
19-04-2016 21:18:36:204 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:36:204 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:36:204 - D: 	Detonating Bombs
19-04-2016 21:18:36:204 - D: 	Processing Player Commands
19-04-2016 21:18:36:204 - D: 	Applying player power ups
19-04-2016 21:18:36:204 - D: 	Destroying marked entities
19-04-2016 21:18:36:204 - I: 	Player PlayerEntity(X:4, Y:14, Key:A) has a movement coverage of 19,57% for the map
19-04-2016 21:18:36:204 - I: 	Player PlayerEntity(X:9, Y:16, Key:D) has a movement coverage of 19,93% for the map
19-04-2016 21:18:36:204 - D: 	Round processing complete
