
19-04-2016 21:18:22:397 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:12, Key:A)
19-04-2016 21:18:22:620 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:12, Y:13, Key:D)
19-04-2016 21:18:22:620 - D: 	Beginning round processing
19-04-2016 21:18:22:620 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:22:620 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:22:620 - D: 	Detonating Bombs
19-04-2016 21:18:22:620 - D: 	Processing Player Commands
19-04-2016 21:18:22:620 - D: 	Applying player power ups
19-04-2016 21:18:22:620 - D: 	Destroying marked entities
19-04-2016 21:18:22:620 - I: 	Player PlayerEntity(X:10, Y:11, Key:A) has a movement coverage of 16,37% for the map
19-04-2016 21:18:22:620 - I: 	Player PlayerEntity(X:12, Y:13, Key:D) has a movement coverage of 16,37% for the map
19-04-2016 21:18:22:620 - D: 	Round processing complete
