
19-04-2016 21:17:03:038 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:6, Key:A)
19-04-2016 21:17:03:275 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:16, Key:B)
19-04-2016 21:17:03:566 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:16, Key:C)
19-04-2016 21:17:03:862 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:6, Key:D)
19-04-2016 21:17:03:862 - D: 	Beginning round processing
19-04-2016 21:17:03:862 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:03:862 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:03:862 - D: 	Detonating Bombs
19-04-2016 21:17:03:862 - D: 	Processing Player Commands
19-04-2016 21:17:03:862 - D: 	Applying player power ups
19-04-2016 21:17:03:862 - D: 	Destroying marked entities
19-04-2016 21:17:03:863 - I: 	Player PlayerEntity(X:6, Y:7, Key:A) has a movement coverage of 5,34% for the map
19-04-2016 21:17:03:863 - I: 	Player PlayerEntity(X:16, Y:16, Key:B) has a movement coverage of 4,98% for the map
19-04-2016 21:17:03:863 - I: 	Player PlayerEntity(X:6, Y:15, Key:C) has a movement coverage of 4,98% for the map
19-04-2016 21:17:03:863 - I: 	Player PlayerEntity(X:16, Y:7, Key:D) has a movement coverage of 5,69% for the map
19-04-2016 21:17:03:863 - D: 	Round processing complete
