
19-04-2016 21:18:33:099 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:10, Y:14, Key:A)
19-04-2016 21:18:33:329 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:15, Y:16, Key:D)
19-04-2016 21:18:33:329 - D: 	Beginning round processing
19-04-2016 21:18:33:329 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:33:329 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:33:329 - D: 	Detonating Bombs
19-04-2016 21:18:33:329 - D: 	Processing Player Commands
19-04-2016 21:18:33:329 - D: 	Applying player power ups
19-04-2016 21:18:33:329 - D: 	Destroying marked entities
19-04-2016 21:18:33:330 - I: 	Player PlayerEntity(X:9, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:33:330 - I: 	Player PlayerEntity(X:14, Y:16, Key:D) has a movement coverage of 18,86% for the map
19-04-2016 21:18:33:330 - D: 	Round processing complete
