
19-04-2016 21:16:52:119 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:6, Key:A)
19-04-2016 21:16:52:348 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:16, Key:B)
19-04-2016 21:16:52:582 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:18, Key:C)
19-04-2016 21:16:52:812 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:6, Key:D)
19-04-2016 21:16:52:812 - D: 	Beginning round processing
19-04-2016 21:16:52:812 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:52:812 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:52:812 - D: 	Detonating Bombs
19-04-2016 21:16:52:812 - D: 	Processing Player Commands
19-04-2016 21:16:52:812 - D: 	Applying player power ups
19-04-2016 21:16:52:812 - D: 	Destroying marked entities
19-04-2016 21:16:52:812 - I: 	Player PlayerEntity(X:5, Y:6, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:52:812 - I: 	Player PlayerEntity(X:18, Y:16, Key:B) has a movement coverage of 3,56% for the map
19-04-2016 21:16:52:812 - I: 	Player PlayerEntity(X:6, Y:17, Key:C) has a movement coverage of 3,91% for the map
19-04-2016 21:16:52:812 - I: 	Player PlayerEntity(X:18, Y:6, Key:D) has a movement coverage of 3,56% for the map
19-04-2016 21:16:52:812 - D: 	Round processing complete
