
19-04-2016 21:17:48:890 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:12, Key:A)
19-04-2016 21:17:49:119 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:10, Key:D)
19-04-2016 21:17:49:119 - D: 	Beginning round processing
19-04-2016 21:17:49:119 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:49:120 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:49:120 - D: 	Detonating Bombs
19-04-2016 21:17:49:120 - D: 	Processing Player Commands
19-04-2016 21:17:49:120 - D: 	Applying player power ups
19-04-2016 21:17:49:120 - D: 	Destroying marked entities
19-04-2016 21:17:49:120 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 11,39% for the map
19-04-2016 21:17:49:120 - I: 	Player PlayerEntity(X:16, Y:10, Key:D) has a movement coverage of 10,32% for the map
19-04-2016 21:17:49:120 - D: 	Round processing complete
