
19-04-2016 21:18:18:364 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:8, Y:11, Key:A)
19-04-2016 21:18:18:668 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:15, Key:D)
19-04-2016 21:18:18:668 - D: 	Beginning round processing
19-04-2016 21:18:18:668 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:18:668 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:18:668 - D: 	Detonating Bombs
19-04-2016 21:18:18:668 - I: 	Detonating Bomb BombEntity(X:12, Y:14, Radius:16, Timer:0, Owner:D)
19-04-2016 21:18:18:668 - D: 	Processing Player Commands
19-04-2016 21:18:18:668 - D: 	Applying player power ups
19-04-2016 21:18:18:668 - D: 	Destroying marked entities
19-04-2016 21:18:18:668 - D: 	Destroyed Entity DestructibleWallEntity(X:12, Y:13)
19-04-2016 21:18:18:668 - I: 	Player PlayerEntity(X:8, Y:11, Key:A) has a movement coverage of 16,01% for the map
19-04-2016 21:18:18:668 - I: 	Player PlayerEntity(X:14, Y:16, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:18:668 - D: 	Round processing complete
