
19-04-2016 21:17:36:698 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:13, Key:A)
19-04-2016 21:17:36:930 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:11, Y:16, Key:B)
19-04-2016 21:17:37:162 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:13, Y:6, Key:D)
19-04-2016 21:17:37:162 - D: 	Beginning round processing
19-04-2016 21:17:37:162 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:37:162 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:37:162 - D: 	Detonating Bombs
19-04-2016 21:17:37:162 - I: 	Detonating Bomb BombEntity(X:14, Y:8, Radius:4, Timer:0, Owner:D)
19-04-2016 21:17:37:162 - I: 	Detonating Bomb BombEntity(X:14, Y:16, Radius:2, Timer:0, Owner:B)
19-04-2016 21:17:37:162 - D: 	Processing Player Commands
19-04-2016 21:17:37:162 - D: 	Applying player power ups
19-04-2016 21:17:37:162 - D: 	Destroying marked entities
19-04-2016 21:17:37:162 - D: 	Destroyed Entity DestructibleWallEntity(X:13, Y:8)
19-04-2016 21:17:37:162 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:9)
19-04-2016 21:17:37:162 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:15)
19-04-2016 21:17:37:162 - I: 	Player PlayerEntity(X:6, Y:14, Key:A) has a movement coverage of 10,32% for the map
19-04-2016 21:17:37:162 - I: 	Player PlayerEntity(X:10, Y:16, Key:B) has a movement coverage of 11,39% for the map
19-04-2016 21:17:37:162 - I: 	Player PlayerEntity(X:12, Y:6, Key:D) has a movement coverage of 7,83% for the map
19-04-2016 21:17:37:162 - D: 	Round processing complete
