
19-04-2016 21:17:35:828 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:17:36:130 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:12, Y:16, Key:B)
19-04-2016 21:17:36:359 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:13, Y:6, Key:D)
19-04-2016 21:17:36:359 - D: 	Beginning round processing
19-04-2016 21:17:36:359 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:36:359 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:36:359 - D: 	Detonating Bombs
19-04-2016 21:17:36:359 - D: 	Processing Player Commands
19-04-2016 21:17:36:359 - D: 	Applying player power ups
19-04-2016 21:17:36:359 - D: 	Destroying marked entities
19-04-2016 21:17:36:360 - I: 	Player PlayerEntity(X:6, Y:13, Key:A) has a movement coverage of 10,32% for the map
19-04-2016 21:17:36:360 - I: 	Player PlayerEntity(X:11, Y:16, Key:B) has a movement coverage of 11,03% for the map
19-04-2016 21:17:36:360 - I: 	Player PlayerEntity(X:13, Y:6, Key:D) has a movement coverage of 7,83% for the map
19-04-2016 21:17:36:360 - D: 	Round processing complete
