
19-04-2016 21:17:44:651 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:6, Y:13, Key:A)
19-04-2016 21:17:44:925 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:18, Key:B)
19-04-2016 21:17:45:151 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:8, Key:D)
19-04-2016 21:17:45:151 - D: 	Beginning round processing
19-04-2016 21:17:45:151 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:45:151 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:45:151 - D: 	Detonating Bombs
19-04-2016 21:17:45:151 - D: 	Processing Player Commands
19-04-2016 21:17:45:151 - D: 	Applying player power ups
19-04-2016 21:17:45:151 - D: 	Destroying marked entities
19-04-2016 21:17:45:151 - I: 	Player PlayerEntity(X:6, Y:13, Key:A) has a movement coverage of 11,03% for the map
19-04-2016 21:17:45:151 - I: 	Player PlayerEntity(X:6, Y:17, Key:B) has a movement coverage of 13,52% for the map
19-04-2016 21:17:45:151 - I: 	Player PlayerEntity(X:14, Y:9, Key:D) has a movement coverage of 9,25% for the map
19-04-2016 21:17:45:151 - D: 	Round processing complete
