
19-04-2016 21:17:08:841 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:6, Key:A)
19-04-2016 21:17:09:075 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:15, Key:B)
19-04-2016 21:17:09:322 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:14, Key:C)
19-04-2016 21:17:09:621 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:6, Key:D)
19-04-2016 21:17:09:621 - D: 	Beginning round processing
19-04-2016 21:17:09:621 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:09:621 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:09:621 - D: 	Detonating Bombs
19-04-2016 21:17:09:621 - I: 	Detonating Bomb BombEntity(X:6, Y:7, Radius:1, Timer:0, Owner:A)
19-04-2016 21:17:09:621 - D: 	Processing Player Commands
19-04-2016 21:17:09:621 - D: 	Applying player power ups
19-04-2016 21:17:09:621 - D: 	Destroying marked entities
19-04-2016 21:17:09:621 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:8)
19-04-2016 21:17:09:622 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 5,34% for the map
19-04-2016 21:17:09:622 - I: 	Player PlayerEntity(X:16, Y:14, Key:B) has a movement coverage of 6,05% for the map
19-04-2016 21:17:09:622 - I: 	Player PlayerEntity(X:6, Y:14, Key:C) has a movement coverage of 5,69% for the map
19-04-2016 21:17:09:622 - I: 	Player PlayerEntity(X:15, Y:6, Key:D) has a movement coverage of 5,69% for the map
19-04-2016 21:17:09:622 - D: 	Round processing complete
