
19-04-2016 21:18:52:439 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:18, Key:A)
19-04-2016 21:18:52:688 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:14, Key:D)
19-04-2016 21:18:52:688 - D: 	Beginning round processing
19-04-2016 21:18:52:688 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:52:688 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:52:689 - D: 	Detonating Bombs
19-04-2016 21:18:52:689 - D: 	Processing Player Commands
19-04-2016 21:18:52:689 - D: 	Applying player power ups
19-04-2016 21:18:52:689 - D: 	Destroying marked entities
19-04-2016 21:18:52:689 - I: 	Player PlayerEntity(X:5, Y:18, Key:A) has a movement coverage of 23,13% for the map
19-04-2016 21:18:52:689 - I: 	Player PlayerEntity(X:5, Y:14, Key:D) has a movement coverage of 24,91% for the map
19-04-2016 21:18:52:689 - D: 	Round processing complete
