
16-04-2016 22:11:09:344 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:3, Key:A)
16-04-2016 22:11:09:586 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:20, Key:B)
16-04-2016 22:11:09:828 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:19, Key:C)
16-04-2016 22:11:10:056 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:2, Key:D)
16-04-2016 22:11:10:056 - D: 	Beginning round processing
16-04-2016 22:11:10:056 - D: 	Removing Bomb Explosions from map
16-04-2016 22:11:10:056 - D: 	Decreasing Bomb Timers
16-04-2016 22:11:10:056 - D: 	Detonating Bombs
16-04-2016 22:11:10:056 - D: 	Processing Player Commands
16-04-2016 22:11:10:056 - D: 	Applying player power ups
16-04-2016 22:11:10:056 - D: 	Destroying marked entities
16-04-2016 22:11:10:057 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,07% for the map
16-04-2016 22:11:10:057 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 1,07% for the map
16-04-2016 22:11:10:057 - I: 	Player PlayerEntity(X:2, Y:18, Key:C) has a movement coverage of 1,07% for the map
16-04-2016 22:11:10:057 - I: 	Player PlayerEntity(X:18, Y:2, Key:D) has a movement coverage of 1,07% for the map
16-04-2016 22:11:10:057 - D: 	Round processing complete
