
19-04-2016 21:18:07:421 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:10, Y:16, Key:A)
19-04-2016 21:18:07:696 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:13, Y:16, Key:D)
19-04-2016 21:18:07:696 - D: 	Beginning round processing
19-04-2016 21:18:07:696 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:07:696 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:07:696 - D: 	Detonating Bombs
19-04-2016 21:18:07:696 - I: 	Detonating Bomb BombEntity(X:8, Y:12, Radius:8, Timer:0, Owner:A)
19-04-2016 21:18:07:696 - I: 	Detonating Bomb BombEntity(X:14, Y:14, Radius:8, Timer:0, Owner:D)
19-04-2016 21:18:07:696 - D: 	Processing Player Commands
19-04-2016 21:18:07:696 - D: 	Applying player power ups
19-04-2016 21:18:07:697 - D: 	Destroying marked entities
19-04-2016 21:18:07:697 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:11)
19-04-2016 21:18:07:697 - D: 	Destroyed Entity DestructibleWallEntity(X:9, Y:12)
19-04-2016 21:18:07:697 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:13)
19-04-2016 21:18:07:697 - D: 	Destroyed Entity DestructibleWallEntity(X:13, Y:14)
19-04-2016 21:18:07:697 - I: 	Player PlayerEntity(X:11, Y:16, Key:A) has a movement coverage of 14,59% for the map
19-04-2016 21:18:07:697 - I: 	Player PlayerEntity(X:12, Y:16, Key:D) has a movement coverage of 15,30% for the map
19-04-2016 21:18:07:697 - D: 	Round processing complete
