
19-04-2016 21:18:51:278 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:20, Key:A)
19-04-2016 21:18:51:510 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:3, Y:14, Key:D)
19-04-2016 21:18:51:510 - D: 	Beginning round processing
19-04-2016 21:18:51:510 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:51:510 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:51:510 - D: 	Detonating Bombs
19-04-2016 21:18:51:510 - D: 	Processing Player Commands
19-04-2016 21:18:51:510 - D: 	Applying player power ups
19-04-2016 21:18:51:510 - D: 	Destroying marked entities
19-04-2016 21:18:51:511 - I: 	Player PlayerEntity(X:4, Y:19, Key:A) has a movement coverage of 23,13% for the map
19-04-2016 21:18:51:511 - I: 	Player PlayerEntity(X:3, Y:14, Key:D) has a movement coverage of 24,56% for the map
19-04-2016 21:18:51:511 - D: 	Round processing complete
