
19-04-2016 21:19:12:944 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:17, Key:A)
19-04-2016 21:19:13:166 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:15, Key:D)
19-04-2016 21:19:13:166 - D: 	Beginning round processing
19-04-2016 21:19:13:166 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:13:166 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:13:166 - D: 	Detonating Bombs
19-04-2016 21:19:13:166 - D: 	Processing Player Commands
19-04-2016 21:19:13:166 - D: 	Applying player power ups
19-04-2016 21:19:13:166 - D: 	Destroying marked entities
19-04-2016 21:19:13:166 - I: 	Player PlayerEntity(X:2, Y:17, Key:A) has a movement coverage of 25,27% for the map
19-04-2016 21:19:13:166 - I: 	Player PlayerEntity(X:2, Y:16, Key:D) has a movement coverage of 31,32% for the map
19-04-2016 21:19:13:166 - D: 	Round processing complete
