
19-04-2016 21:16:47:670 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:7, Key:A)
19-04-2016 21:16:47:909 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:16, Key:B)
19-04-2016 21:16:48:133 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:16, Key:C)
19-04-2016 21:16:48:364 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:6, Key:D)
19-04-2016 21:16:48:364 - D: 	Beginning round processing
19-04-2016 21:16:48:364 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:48:364 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:48:364 - D: 	Detonating Bombs
19-04-2016 21:16:48:364 - D: 	Processing Player Commands
19-04-2016 21:16:48:364 - D: 	Applying player power ups
19-04-2016 21:16:48:364 - D: 	Destroying marked entities
19-04-2016 21:16:48:364 - I: 	Player PlayerEntity(X:4, Y:8, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:48:364 - I: 	Player PlayerEntity(X:17, Y:16, Key:B) has a movement coverage of 3,56% for the map
19-04-2016 21:16:48:364 - I: 	Player PlayerEntity(X:4, Y:17, Key:C) has a movement coverage of 2,85% for the map
19-04-2016 21:16:48:364 - I: 	Player PlayerEntity(X:17, Y:6, Key:D) has a movement coverage of 3,56% for the map
19-04-2016 21:16:48:364 - D: 	Round processing complete
