
19-04-2016 21:18:55:322 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:16, Key:A)
19-04-2016 21:18:55:570 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:11, Key:D)
19-04-2016 21:18:55:570 - D: 	Beginning round processing
19-04-2016 21:18:55:570 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:55:570 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:55:570 - D: 	Detonating Bombs
19-04-2016 21:18:55:570 - D: 	Processing Player Commands
19-04-2016 21:18:55:570 - D: 	Applying player power ups
19-04-2016 21:18:55:570 - D: 	Destroying marked entities
19-04-2016 21:18:55:570 - I: 	Player PlayerEntity(X:6, Y:15, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:55:570 - I: 	Player PlayerEntity(X:6, Y:10, Key:D) has a movement coverage of 26,69% for the map
19-04-2016 21:18:55:570 - D: 	Round processing complete
