
19-04-2016 21:16:54:259 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:5, Y:6, Key:A)
19-04-2016 21:16:54:490 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:15, Key:B)
19-04-2016 21:16:54:718 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:16, Key:C)
19-04-2016 21:16:54:942 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:5, Key:D)
19-04-2016 21:16:54:942 - D: 	Beginning round processing
19-04-2016 21:16:54:942 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:54:942 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:54:942 - D: 	Detonating Bombs
19-04-2016 21:16:54:942 - D: 	Processing Player Commands
19-04-2016 21:16:54:942 - D: 	Applying player power ups
19-04-2016 21:16:54:942 - D: 	Destroying marked entities
19-04-2016 21:16:54:942 - I: 	Player PlayerEntity(X:5, Y:6, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:54:942 - I: 	Player PlayerEntity(X:18, Y:14, Key:B) has a movement coverage of 4,27% for the map
19-04-2016 21:16:54:942 - I: 	Player PlayerEntity(X:6, Y:15, Key:C) has a movement coverage of 4,63% for the map
19-04-2016 21:16:54:942 - I: 	Player PlayerEntity(X:18, Y:4, Key:D) has a movement coverage of 3,56% for the map
19-04-2016 21:16:54:942 - D: 	Round processing complete
