
19-04-2016 21:17:39:257 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:8, Y:14, Key:A)
19-04-2016 21:17:39:501 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:9, Y:16, Key:B)
19-04-2016 21:17:39:721 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:12, Y:7, Key:D)
19-04-2016 21:17:39:721 - D: 	Beginning round processing
19-04-2016 21:17:39:721 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:39:721 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:39:721 - D: 	Detonating Bombs
19-04-2016 21:17:39:721 - D: 	Processing Player Commands
19-04-2016 21:17:39:721 - D: 	Applying player power ups
19-04-2016 21:17:39:721 - D: 	Destroying marked entities
19-04-2016 21:17:39:722 - I: 	Player PlayerEntity(X:8, Y:15, Key:A) has a movement coverage of 11,03% for the map
19-04-2016 21:17:39:722 - I: 	Player PlayerEntity(X:8, Y:16, Key:B) has a movement coverage of 12,10% for the map
19-04-2016 21:17:39:722 - I: 	Player PlayerEntity(X:12, Y:8, Key:D) has a movement coverage of 8,54% for the map
19-04-2016 21:17:39:722 - D: 	Round processing complete
