
19-04-2016 21:18:11:541 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:10, Y:14, Key:A)
19-04-2016 21:18:11:762 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:14, Key:D)
19-04-2016 21:18:11:762 - D: 	Beginning round processing
19-04-2016 21:18:11:762 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:11:762 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:11:762 - D: 	Detonating Bombs
19-04-2016 21:18:11:762 - D: 	Processing Player Commands
19-04-2016 21:18:11:762 - D: 	Applying player power ups
19-04-2016 21:18:11:762 - D: 	Destroying marked entities
19-04-2016 21:18:11:762 - I: 	Player PlayerEntity(X:9, Y:14, Key:A) has a movement coverage of 14,95% for the map
19-04-2016 21:18:11:762 - I: 	Player PlayerEntity(X:13, Y:14, Key:D) has a movement coverage of 15,66% for the map
19-04-2016 21:18:11:762 - D: 	Round processing complete
