
19-04-2016 21:18:06:007 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:14, Key:A)
19-04-2016 21:18:06:344 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:16, Key:D)
19-04-2016 21:18:06:344 - D: 	Beginning round processing
19-04-2016 21:18:06:344 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:06:344 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:06:344 - D: 	Detonating Bombs
19-04-2016 21:18:06:344 - D: 	Processing Player Commands
19-04-2016 21:18:06:344 - D: 	Applying player power ups
19-04-2016 21:18:06:344 - D: 	Destroying marked entities
19-04-2016 21:18:06:344 - I: 	Player PlayerEntity(X:10, Y:15, Key:A) has a movement coverage of 14,23% for the map
19-04-2016 21:18:06:344 - I: 	Player PlayerEntity(X:13, Y:16, Key:D) has a movement coverage of 14,95% for the map
19-04-2016 21:18:06:344 - D: 	Round processing complete
