
19-04-2016 21:18:37:215 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:15, Key:A)
19-04-2016 21:18:37:461 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:8, Y:16, Key:D)
19-04-2016 21:18:37:461 - D: 	Beginning round processing
19-04-2016 21:18:37:461 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:37:461 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:37:461 - D: 	Detonating Bombs
19-04-2016 21:18:37:461 - D: 	Processing Player Commands
19-04-2016 21:18:37:461 - D: 	Applying player power ups
19-04-2016 21:18:37:461 - D: 	Destroying marked entities
19-04-2016 21:18:37:461 - I: 	Player PlayerEntity(X:4, Y:16, Key:A) has a movement coverage of 20,28% for the map
19-04-2016 21:18:37:461 - I: 	Player PlayerEntity(X:7, Y:16, Key:D) has a movement coverage of 20,64% for the map
19-04-2016 21:18:37:461 - D: 	Round processing complete
