
19-04-2016 21:19:11:252 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:3, Y:18, Key:A)
19-04-2016 21:19:11:489 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:12, Key:D)
19-04-2016 21:19:11:489 - D: 	Beginning round processing
19-04-2016 21:19:11:489 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:11:489 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:11:489 - D: 	Detonating Bombs
19-04-2016 21:19:11:489 - I: 	Detonating Bomb BombEntity(X:6, Y:20, Radius:16, Timer:0, Owner:A)
19-04-2016 21:19:11:489 - D: 	Processing Player Commands
19-04-2016 21:19:11:489 - D: 	Applying player power ups
19-04-2016 21:19:11:489 - D: 	Destroying marked entities
19-04-2016 21:19:11:489 - D: 	Destroyed Entity DestructibleWallEntity(X:7, Y:20)
19-04-2016 21:19:11:490 - I: 	Player PlayerEntity(X:2, Y:18, Key:A) has a movement coverage of 24,91% for the map
19-04-2016 21:19:11:490 - I: 	Player PlayerEntity(X:2, Y:13, Key:D) has a movement coverage of 31,32% for the map
19-04-2016 21:19:11:490 - D: 	Round processing complete
