
16-04-2016 22:11:11:439 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:3, Y:4, Key:A)
16-04-2016 22:11:11:686 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:19, Key:B)
16-04-2016 22:11:11:919 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:3, Y:18, Key:C)
16-04-2016 22:11:12:149 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:3, Key:D)
16-04-2016 22:11:12:149 - D: 	Beginning round processing
16-04-2016 22:11:12:149 - D: 	Removing Bomb Explosions from map
16-04-2016 22:11:12:149 - D: 	Decreasing Bomb Timers
16-04-2016 22:11:12:149 - D: 	Detonating Bombs
16-04-2016 22:11:12:149 - D: 	Processing Player Commands
16-04-2016 22:11:12:149 - D: 	Applying player power ups
16-04-2016 22:11:12:149 - D: 	Destroying marked entities
16-04-2016 22:11:12:149 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 1,78% for the map
16-04-2016 22:11:12:149 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 1,78% for the map
16-04-2016 22:11:12:149 - I: 	Player PlayerEntity(X:4, Y:18, Key:C) has a movement coverage of 1,78% for the map
16-04-2016 22:11:12:149 - I: 	Player PlayerEntity(X:18, Y:4, Key:D) has a movement coverage of 1,78% for the map
16-04-2016 22:11:12:149 - D: 	Round processing complete
