
19-04-2016 21:17:54:404 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:15, Key:A)
19-04-2016 21:17:54:656 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:16, Y:14, Key:D)
19-04-2016 21:17:54:656 - D: 	Beginning round processing
19-04-2016 21:17:54:656 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:54:656 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:54:656 - D: 	Detonating Bombs
19-04-2016 21:17:54:656 - D: 	Processing Player Commands
19-04-2016 21:17:54:656 - D: 	Applying player power ups
19-04-2016 21:17:54:656 - D: 	Destroying marked entities
19-04-2016 21:17:54:657 - I: 	Player PlayerEntity(X:10, Y:16, Key:A) has a movement coverage of 12,81% for the map
19-04-2016 21:17:54:657 - I: 	Player PlayerEntity(X:16, Y:13, Key:D) has a movement coverage of 12,10% for the map
19-04-2016 21:17:54:657 - D: 	Round processing complete
