
19-04-2016 21:19:07:893 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:6, Y:20, Key:A)
19-04-2016 21:19:08:122 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:4, Y:10, Key:D)
19-04-2016 21:19:08:122 - D: 	Beginning round processing
19-04-2016 21:19:08:122 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:08:122 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:08:122 - D: 	Detonating Bombs
19-04-2016 21:19:08:122 - D: 	Processing Player Commands
19-04-2016 21:19:08:122 - D: 	Applying player power ups
19-04-2016 21:19:08:122 - D: 	Destroying marked entities
19-04-2016 21:19:08:122 - I: 	Player PlayerEntity(X:5, Y:20, Key:A) has a movement coverage of 24,20% for the map
19-04-2016 21:19:08:122 - I: 	Player PlayerEntity(X:4, Y:10, Key:D) has a movement coverage of 30,25% for the map
19-04-2016 21:19:08:122 - D: 	Round processing complete
