
19-04-2016 21:18:59:350 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:9, Key:A)
19-04-2016 21:18:59:591 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:4, Key:D)
19-04-2016 21:18:59:591 - D: 	Beginning round processing
19-04-2016 21:18:59:591 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:59:591 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:59:591 - D: 	Detonating Bombs
19-04-2016 21:18:59:591 - D: 	Processing Player Commands
19-04-2016 21:18:59:591 - D: 	Applying player power ups
19-04-2016 21:18:59:591 - D: 	Destroying marked entities
19-04-2016 21:18:59:591 - I: 	Player PlayerEntity(X:6, Y:8, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:59:591 - I: 	Player PlayerEntity(X:6, Y:3, Key:D) has a movement coverage of 29,18% for the map
19-04-2016 21:18:59:591 - D: 	Round processing complete
