
19-04-2016 21:18:44:488 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:18, Key:A)
19-04-2016 21:18:44:811 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:13, Key:D)
19-04-2016 21:18:44:811 - D: 	Beginning round processing
19-04-2016 21:18:44:811 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:44:811 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:44:811 - D: 	Detonating Bombs
19-04-2016 21:18:44:811 - I: 	Detonating Bomb BombEntity(X:4, Y:14, Radius:16, Timer:0, Owner:D)
19-04-2016 21:18:44:811 - D: 	Processing Player Commands
19-04-2016 21:18:44:811 - D: 	Applying player power ups
19-04-2016 21:18:44:811 - D: 	Destroying marked entities
19-04-2016 21:18:44:811 - D: 	Destroyed Entity DestructibleWallEntity(X:4, Y:13)
19-04-2016 21:18:44:812 - I: 	Player PlayerEntity(X:6, Y:19, Key:A) has a movement coverage of 22,42% for the map
19-04-2016 21:18:44:812 - I: 	Player PlayerEntity(X:2, Y:12, Key:D) has a movement coverage of 23,84% for the map
19-04-2016 21:18:44:812 - D: 	Round processing complete
