
19-04-2016 21:18:59:921 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:8, Key:A)
19-04-2016 21:19:00:216 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:3, Key:D)
19-04-2016 21:19:00:216 - D: 	Beginning round processing
19-04-2016 21:19:00:216 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:00:216 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:00:216 - D: 	Detonating Bombs
19-04-2016 21:19:00:216 - D: 	Processing Player Commands
19-04-2016 21:19:00:216 - D: 	Applying player power ups
19-04-2016 21:19:00:216 - D: 	Destroying marked entities
19-04-2016 21:19:00:216 - I: 	Player PlayerEntity(X:6, Y:9, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:00:216 - I: 	Player PlayerEntity(X:6, Y:4, Key:D) has a movement coverage of 29,18% for the map
19-04-2016 21:19:00:216 - D: 	Round processing complete
