
19-04-2016 21:17:34:898 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:12, Key:A)
19-04-2016 21:17:35:195 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:13, Y:16, Key:B)
19-04-2016 21:17:35:491 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:6, Key:D)
19-04-2016 21:17:35:491 - D: 	Beginning round processing
19-04-2016 21:17:35:491 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:35:491 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:35:491 - D: 	Detonating Bombs
19-04-2016 21:17:35:491 - D: 	Processing Player Commands
19-04-2016 21:17:35:491 - D: 	Applying player power ups
19-04-2016 21:17:35:491 - D: 	Destroying marked entities
19-04-2016 21:17:35:491 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 10,32% for the map
19-04-2016 21:17:35:491 - I: 	Player PlayerEntity(X:12, Y:16, Key:B) has a movement coverage of 10,68% for the map
19-04-2016 21:17:35:491 - I: 	Player PlayerEntity(X:13, Y:6, Key:D) has a movement coverage of 7,83% for the map
19-04-2016 21:17:35:491 - D: 	Round processing complete
