
19-04-2016 21:18:02:045 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:8, Y:13, Key:A)
19-04-2016 21:18:02:275 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:15, Y:16, Key:D)
19-04-2016 21:18:02:275 - D: 	Beginning round processing
19-04-2016 21:18:02:275 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:02:275 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:02:275 - D: 	Detonating Bombs
19-04-2016 21:18:02:275 - I: 	Detonating Bomb BombEntity(X:10, Y:14, Radius:8, Timer:0, Owner:A)
19-04-2016 21:18:02:275 - D: 	Processing Player Commands
19-04-2016 21:18:02:275 - D: 	Applying player power ups
19-04-2016 21:18:02:275 - D: 	Destroying marked entities
19-04-2016 21:18:02:276 - D: 	Destroyed Entity DestructibleWallEntity(X:10, Y:13)
19-04-2016 21:18:02:276 - D: 	Destroyed Entity DestructibleWallEntity(X:11, Y:14)
19-04-2016 21:18:02:276 - D: 	Destroyed Entity DestructibleWallEntity(X:10, Y:19)
19-04-2016 21:18:02:276 - I: 	Player PlayerEntity(X:8, Y:12, Key:A) has a movement coverage of 14,23% for the map
19-04-2016 21:18:02:276 - I: 	Player PlayerEntity(X:14, Y:16, Key:D) has a movement coverage of 13,88% for the map
19-04-2016 21:18:02:276 - D: 	Round processing complete
