
19-04-2016 21:18:02:628 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:8, Y:12, Key:A)
19-04-2016 21:18:02:849 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:16, Key:D)
19-04-2016 21:18:02:849 - D: 	Beginning round processing
19-04-2016 21:18:02:849 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:02:849 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:02:849 - D: 	Detonating Bombs
19-04-2016 21:18:02:849 - D: 	Processing Player Commands
19-04-2016 21:18:02:849 - D: 	Applying player power ups
19-04-2016 21:18:02:849 - D: 	Destroying marked entities
19-04-2016 21:18:02:849 - I: 	Player PlayerEntity(X:8, Y:12, Key:A) has a movement coverage of 14,23% for the map
19-04-2016 21:18:02:849 - I: 	Player PlayerEntity(X:14, Y:15, Key:D) has a movement coverage of 14,23% for the map
19-04-2016 21:18:02:849 - D: 	Round processing complete
