
19-04-2016 21:19:02:503 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:19:02:814 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:7, Key:D)
19-04-2016 21:19:02:814 - D: 	Beginning round processing
19-04-2016 21:19:02:814 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:02:814 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:02:814 - D: 	Detonating Bombs
19-04-2016 21:19:02:814 - D: 	Processing Player Commands
19-04-2016 21:19:02:814 - D: 	Applying player power ups
19-04-2016 21:19:02:814 - D: 	Destroying marked entities
19-04-2016 21:19:02:815 - I: 	Player PlayerEntity(X:6, Y:13, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:02:815 - I: 	Player PlayerEntity(X:6, Y:8, Key:D) has a movement coverage of 29,18% for the map
19-04-2016 21:19:02:815 - D: 	Round processing complete
