
19-04-2016 21:17:01:922 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:5, Key:A)
19-04-2016 21:17:02:156 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:16, Key:B)
19-04-2016 21:17:02:430 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:16, Key:C)
19-04-2016 21:17:02:696 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:6, Key:D)
19-04-2016 21:17:02:696 - D: 	Beginning round processing
19-04-2016 21:17:02:696 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:02:696 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:02:696 - D: 	Detonating Bombs
19-04-2016 21:17:02:696 - I: 	Detonating Bomb BombEntity(X:17, Y:14, Radius:1, Timer:0, Owner:B)
19-04-2016 21:17:02:696 - D: 	Processing Player Commands
19-04-2016 21:17:02:696 - D: 	Applying player power ups
19-04-2016 21:17:02:696 - D: 	Destroying marked entities
19-04-2016 21:17:02:696 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:14)
19-04-2016 21:17:02:696 - I: 	Player PlayerEntity(X:6, Y:6, Key:A) has a movement coverage of 4,98% for the map
19-04-2016 21:17:02:696 - I: 	Player PlayerEntity(X:17, Y:16, Key:B) has a movement coverage of 4,63% for the map
19-04-2016 21:17:02:696 - I: 	Player PlayerEntity(X:6, Y:16, Key:C) has a movement coverage of 4,98% for the map
19-04-2016 21:17:02:696 - I: 	Player PlayerEntity(X:16, Y:6, Key:D) has a movement coverage of 5,34% for the map
19-04-2016 21:17:02:696 - D: 	Round processing complete
