
19-04-2016 21:18:29:525 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:14, Y:14, Key:A)
19-04-2016 21:18:29:744 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:16, Key:D)
19-04-2016 21:18:29:744 - D: 	Beginning round processing
19-04-2016 21:18:29:744 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:29:744 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:29:744 - D: 	Detonating Bombs
19-04-2016 21:18:29:744 - D: 	Processing Player Commands
19-04-2016 21:18:29:744 - D: 	Applying player power ups
19-04-2016 21:18:29:744 - D: 	Destroying marked entities
19-04-2016 21:18:29:744 - I: 	Player PlayerEntity(X:15, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:29:744 - I: 	Player PlayerEntity(X:20, Y:16, Key:D) has a movement coverage of 18,51% for the map
19-04-2016 21:18:29:744 - D: 	Round processing complete
