
19-04-2016 21:17:10:056 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:4, Y:6, Key:A)
19-04-2016 21:17:10:285 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:14, Key:B)
19-04-2016 21:17:10:564 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:6, Y:14, Key:C)
19-04-2016 21:17:10:795 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:15, Y:6, Key:D)
19-04-2016 21:17:10:795 - D: 	Beginning round processing
19-04-2016 21:17:10:795 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:10:795 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:10:795 - D: 	Detonating Bombs
19-04-2016 21:17:10:795 - I: 	Detonating Bomb BombEntity(X:15, Y:16, Radius:1, Timer:0, Owner:B)
19-04-2016 21:17:10:795 - D: 	Processing Player Commands
19-04-2016 21:17:10:795 - D: 	Applying player power ups
19-04-2016 21:17:10:795 - D: 	Destroying marked entities
19-04-2016 21:17:10:795 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:16)
19-04-2016 21:17:10:795 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 5,34% for the map
19-04-2016 21:17:10:795 - I: 	Player PlayerEntity(X:16, Y:14, Key:B) has a movement coverage of 6,05% for the map
19-04-2016 21:17:10:795 - I: 	Player PlayerEntity(X:6, Y:14, Key:C) has a movement coverage of 5,69% for the map
19-04-2016 21:17:10:795 - I: 	Player PlayerEntity(X:14, Y:6, Key:D) has a movement coverage of 6,05% for the map
19-04-2016 21:17:10:795 - D: 	Round processing complete
