
19-04-2016 21:18:01:430 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:8, Y:13, Key:A)
19-04-2016 21:18:01:660 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:16, Key:D)
19-04-2016 21:18:01:660 - D: 	Beginning round processing
19-04-2016 21:18:01:660 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:01:660 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:01:660 - D: 	Detonating Bombs
19-04-2016 21:18:01:660 - D: 	Processing Player Commands
19-04-2016 21:18:01:660 - D: 	Applying player power ups
19-04-2016 21:18:01:660 - D: 	Destroying marked entities
19-04-2016 21:18:01:660 - I: 	Player PlayerEntity(X:8, Y:13, Key:A) has a movement coverage of 13,88% for the map
19-04-2016 21:18:01:660 - I: 	Player PlayerEntity(X:15, Y:16, Key:D) has a movement coverage of 13,52% for the map
19-04-2016 21:18:01:660 - D: 	Round processing complete
