
19-04-2016 21:17:16:916 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:9, Key:A)
19-04-2016 21:17:17:243 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:10, Key:B)
19-04-2016 21:17:17:567 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:16, Y:8, Key:D)
19-04-2016 21:17:17:567 - D: 	Beginning round processing
19-04-2016 21:17:17:567 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:17:567 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:17:567 - D: 	Detonating Bombs
19-04-2016 21:17:17:567 - D: 	Processing Player Commands
19-04-2016 21:17:17:567 - D: 	Applying player power ups
19-04-2016 21:17:17:567 - D: 	Destroying marked entities
19-04-2016 21:17:17:567 - I: 	Player PlayerEntity(X:6, Y:10, Key:A) has a movement coverage of 6,76% for the map
19-04-2016 21:17:17:567 - I: 	Player PlayerEntity(X:16, Y:10, Key:B) has a movement coverage of 7,47% for the map
19-04-2016 21:17:17:567 - I: 	Player PlayerEntity(X:16, Y:8, Key:D) has a movement coverage of 6,41% for the map
19-04-2016 21:17:17:567 - D: 	Round processing complete
