
19-04-2016 21:17:00:894 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:4, Key:A)
19-04-2016 21:17:01:126 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:15, Key:B)
19-04-2016 21:17:01:353 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:7, Y:16, Key:C)
19-04-2016 21:17:01:580 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:15, Y:6, Key:D)
19-04-2016 21:17:01:580 - D: 	Beginning round processing
19-04-2016 21:17:01:580 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:01:580 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:01:580 - D: 	Detonating Bombs
19-04-2016 21:17:01:580 - D: 	Processing Player Commands
19-04-2016 21:17:01:580 - D: 	Applying player power ups
19-04-2016 21:17:01:580 - D: 	Destroying marked entities
19-04-2016 21:17:01:581 - I: 	Player PlayerEntity(X:6, Y:5, Key:A) has a movement coverage of 4,63% for the map
19-04-2016 21:17:01:581 - I: 	Player PlayerEntity(X:18, Y:16, Key:B) has a movement coverage of 4,63% for the map
19-04-2016 21:17:01:581 - I: 	Player PlayerEntity(X:7, Y:16, Key:C) has a movement coverage of 4,98% for the map
19-04-2016 21:17:01:581 - I: 	Player PlayerEntity(X:15, Y:6, Key:D) has a movement coverage of 5,34% for the map
19-04-2016 21:17:01:581 - D: 	Round processing complete
