
19-04-2016 21:18:20:730 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:8, Y:12, Key:A)
19-04-2016 21:18:20:959 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:14, Key:D)
19-04-2016 21:18:20:959 - D: 	Beginning round processing
19-04-2016 21:18:20:959 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:20:959 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:20:959 - D: 	Detonating Bombs
19-04-2016 21:18:20:960 - D: 	Processing Player Commands
19-04-2016 21:18:20:960 - D: 	Applying player power ups
19-04-2016 21:18:20:960 - D: 	Destroying marked entities
19-04-2016 21:18:20:960 - I: 	Player PlayerEntity(X:9, Y:12, Key:A) has a movement coverage of 16,01% for the map
19-04-2016 21:18:20:960 - I: 	Player PlayerEntity(X:13, Y:14, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:20:960 - D: 	Round processing complete
