
19-04-2016 21:16:49:754 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:8, Key:A)
19-04-2016 21:16:50:103 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:17, Y:16, Key:B)
19-04-2016 21:16:50:325 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:18, Key:C)
19-04-2016 21:16:50:655 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:17, Y:6, Key:D)
19-04-2016 21:16:50:655 - D: 	Beginning round processing
19-04-2016 21:16:50:655 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:50:655 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:50:655 - D: 	Detonating Bombs
19-04-2016 21:16:50:655 - I: 	Detonating Bomb BombEntity(X:5, Y:16, Radius:1, Timer:0, Owner:C)
19-04-2016 21:16:50:655 - D: 	Processing Player Commands
19-04-2016 21:16:50:655 - D: 	Applying player power ups
19-04-2016 21:16:50:656 - D: 	Destroying marked entities
19-04-2016 21:16:50:656 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:16)
19-04-2016 21:16:50:656 - I: 	Player PlayerEntity(X:4, Y:7, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:50:656 - I: 	Player PlayerEntity(X:17, Y:16, Key:B) has a movement coverage of 3,56% for the map
19-04-2016 21:16:50:656 - I: 	Player PlayerEntity(X:5, Y:18, Key:C) has a movement coverage of 3,20% for the map
19-04-2016 21:16:50:656 - I: 	Player PlayerEntity(X:17, Y:6, Key:D) has a movement coverage of 3,56% for the map
19-04-2016 21:16:50:656 - D: 	Round processing complete
