
19-04-2016 21:16:51:083 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:7, Key:A)
19-04-2016 21:16:51:314 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:17, Y:16, Key:B)
19-04-2016 21:16:51:547 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:18, Key:C)
19-04-2016 21:16:51:772 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:17, Y:6, Key:D)
19-04-2016 21:16:51:772 - D: 	Beginning round processing
19-04-2016 21:16:51:772 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:51:773 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:51:773 - D: 	Detonating Bombs
19-04-2016 21:16:51:773 - D: 	Processing Player Commands
19-04-2016 21:16:51:773 - D: 	Applying player power ups
19-04-2016 21:16:51:773 - D: 	Destroying marked entities
19-04-2016 21:16:51:773 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 3,56% for the map
19-04-2016 21:16:51:773 - I: 	Player PlayerEntity(X:17, Y:16, Key:B) has a movement coverage of 3,56% for the map
19-04-2016 21:16:51:773 - I: 	Player PlayerEntity(X:6, Y:18, Key:C) has a movement coverage of 3,56% for the map
19-04-2016 21:16:51:773 - I: 	Player PlayerEntity(X:17, Y:6, Key:D) has a movement coverage of 3,56% for the map
19-04-2016 21:16:51:773 - D: 	Round processing complete
