
19-04-2016 21:18:57:641 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:18:57:902 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:7, Key:D)
19-04-2016 21:18:57:902 - D: 	Beginning round processing
19-04-2016 21:18:57:902 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:57:902 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:57:902 - D: 	Detonating Bombs
19-04-2016 21:18:57:902 - D: 	Processing Player Commands
19-04-2016 21:18:57:902 - D: 	Applying player power ups
19-04-2016 21:18:57:902 - D: 	Destroying marked entities
19-04-2016 21:18:57:902 - I: 	Player PlayerEntity(X:6, Y:11, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:57:902 - I: 	Player PlayerEntity(X:6, Y:6, Key:D) has a movement coverage of 28,11% for the map
19-04-2016 21:18:57:902 - D: 	Round processing complete
