
19-04-2016 21:18:34:816 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:14, Key:A)
19-04-2016 21:18:35:043 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:12, Y:16, Key:D)
19-04-2016 21:18:35:043 - D: 	Beginning round processing
19-04-2016 21:18:35:043 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:35:043 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:35:043 - D: 	Detonating Bombs
19-04-2016 21:18:35:043 - D: 	Processing Player Commands
19-04-2016 21:18:35:044 - D: 	Applying player power ups
19-04-2016 21:18:35:044 - D: 	Destroying marked entities
19-04-2016 21:18:35:044 - I: 	Player PlayerEntity(X:6, Y:14, Key:A) has a movement coverage of 18,86% for the map
19-04-2016 21:18:35:044 - I: 	Player PlayerEntity(X:11, Y:16, Key:D) has a movement coverage of 19,22% for the map
19-04-2016 21:18:35:044 - D: 	Round processing complete
