
19-04-2016 21:17:33:923 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:17:34:229 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:16, Key:B)
19-04-2016 21:17:34:556 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:7, Key:D)
19-04-2016 21:17:34:556 - D: 	Beginning round processing
19-04-2016 21:17:34:556 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:34:556 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:34:556 - D: 	Detonating Bombs
19-04-2016 21:17:34:556 - I: 	Detonating Bomb BombEntity(X:7, Y:14, Radius:4, Timer:0, Owner:A)
19-04-2016 21:17:34:556 - D: 	Processing Player Commands
19-04-2016 21:17:34:556 - D: 	Applying player power ups
19-04-2016 21:17:34:556 - D: 	Destroying marked entities
19-04-2016 21:17:34:556 - D: 	Destroyed Entity DestructibleWallEntity(X:3, Y:14)
19-04-2016 21:17:34:556 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:14)
19-04-2016 21:17:34:556 - I: 	Player PlayerEntity(X:5, Y:12, Key:A) has a movement coverage of 10,32% for the map
19-04-2016 21:17:34:556 - I: 	Player PlayerEntity(X:13, Y:16, Key:B) has a movement coverage of 10,32% for the map
19-04-2016 21:17:34:556 - I: 	Player PlayerEntity(X:14, Y:6, Key:D) has a movement coverage of 7,83% for the map
19-04-2016 21:17:34:556 - D: 	Round processing complete
