
19-04-2016 21:18:28:972 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:13, Y:14, Key:A)
19-04-2016 21:18:29:192 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:18, Y:16, Key:D)
19-04-2016 21:18:29:192 - D: 	Beginning round processing
19-04-2016 21:18:29:192 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:29:192 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:29:192 - D: 	Detonating Bombs
19-04-2016 21:18:29:192 - D: 	Processing Player Commands
19-04-2016 21:18:29:192 - D: 	Applying player power ups
19-04-2016 21:18:29:192 - D: 	Destroying marked entities
19-04-2016 21:18:29:192 - I: 	Player PlayerEntity(X:14, Y:14, Key:A) has a movement coverage of 18,51% for the map
19-04-2016 21:18:29:193 - I: 	Player PlayerEntity(X:19, Y:16, Key:D) has a movement coverage of 18,15% for the map
19-04-2016 21:18:29:193 - D: 	Round processing complete
