
19-04-2016 21:18:57:056 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:13, Key:A)
19-04-2016 21:18:57:279 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:8, Key:D)
19-04-2016 21:18:57:279 - D: 	Beginning round processing
19-04-2016 21:18:57:279 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:57:279 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:57:279 - D: 	Detonating Bombs
19-04-2016 21:18:57:279 - D: 	Processing Player Commands
19-04-2016 21:18:57:279 - D: 	Applying player power ups
19-04-2016 21:18:57:279 - D: 	Destroying marked entities
19-04-2016 21:18:57:279 - I: 	Player PlayerEntity(X:6, Y:12, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:18:57:279 - I: 	Player PlayerEntity(X:6, Y:7, Key:D) has a movement coverage of 27,76% for the map
19-04-2016 21:18:57:279 - D: 	Round processing complete
