
19-04-2016 21:17:06:402 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:6, Y:6, Key:A)
19-04-2016 21:17:06:694 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:16, Key:B)
19-04-2016 21:17:07:041 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:6, Y:13, Key:C)
19-04-2016 21:17:07:269 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:16, Y:7, Key:D)
19-04-2016 21:17:07:269 - D: 	Beginning round processing
19-04-2016 21:17:07:269 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:07:269 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:07:269 - D: 	Detonating Bombs
19-04-2016 21:17:07:269 - D: 	Processing Player Commands
19-04-2016 21:17:07:269 - D: 	Applying player power ups
19-04-2016 21:17:07:269 - D: 	Destroying marked entities
19-04-2016 21:17:07:269 - I: 	Player PlayerEntity(X:6, Y:6, Key:A) has a movement coverage of 5,34% for the map
19-04-2016 21:17:07:269 - I: 	Player PlayerEntity(X:16, Y:16, Key:B) has a movement coverage of 5,34% for the map
19-04-2016 21:17:07:269 - I: 	Player PlayerEntity(X:6, Y:13, Key:C) has a movement coverage of 5,69% for the map
19-04-2016 21:17:07:269 - I: 	Player PlayerEntity(X:16, Y:7, Key:D) has a movement coverage of 5,69% for the map
19-04-2016 21:17:07:269 - D: 	Round processing complete
