
19-04-2016 21:16:42:958 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:5, Y:6, Key:A)
19-04-2016 21:16:43:193 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:18, Key:B)
19-04-2016 21:16:43:424 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:5, Y:16, Key:C)
19-04-2016 21:16:43:653 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:4, Key:D)
19-04-2016 21:16:43:653 - D: 	Beginning round processing
19-04-2016 21:16:43:653 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:43:653 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:43:653 - D: 	Detonating Bombs
19-04-2016 21:16:43:653 - I: 	Detonating Bomb BombEntity(X:4, Y:4, Radius:1, Timer:0, Owner:A)
19-04-2016 21:16:43:653 - I: 	Detonating Bomb BombEntity(X:4, Y:18, Radius:1, Timer:0, Owner:C)
19-04-2016 21:16:43:653 - D: 	Processing Player Commands
19-04-2016 21:16:43:653 - D: 	Applying player power ups
19-04-2016 21:16:43:653 - D: 	Destroying marked entities
19-04-2016 21:16:43:653 - D: 	Destroyed Entity DestructibleWallEntity(X:4, Y:3)
19-04-2016 21:16:43:653 - D: 	Destroyed Entity DestructibleWallEntity(X:5, Y:4)
19-04-2016 21:16:43:653 - D: 	Destroyed Entity DestructibleWallEntity(X:5, Y:18)
19-04-2016 21:16:43:653 - D: 	Destroyed Entity DestructibleWallEntity(X:4, Y:19)
19-04-2016 21:16:43:654 - I: 	Player PlayerEntity(X:5, Y:6, Key:A) has a movement coverage of 2,85% for the map
19-04-2016 21:16:43:654 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 2,49% for the map
19-04-2016 21:16:43:654 - I: 	Player PlayerEntity(X:5, Y:16, Key:C) has a movement coverage of 2,85% for the map
19-04-2016 21:16:43:654 - I: 	Player PlayerEntity(X:18, Y:4, Key:D) has a movement coverage of 2,49% for the map
19-04-2016 21:16:43:654 - D: 	Round processing complete
