
19-04-2016 21:17:17:903 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:10, Key:A)
19-04-2016 21:17:18:131 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:10, Key:B)
19-04-2016 21:17:18:357 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:16, Y:8, Key:D)
19-04-2016 21:17:18:357 - D: 	Beginning round processing
19-04-2016 21:17:18:357 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:18:357 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:18:357 - D: 	Detonating Bombs
19-04-2016 21:17:18:357 - D: 	Processing Player Commands
19-04-2016 21:17:18:357 - D: 	Applying player power ups
19-04-2016 21:17:18:357 - D: 	Destroying marked entities
19-04-2016 21:17:18:357 - I: 	Player PlayerEntity(X:6, Y:11, Key:A) has a movement coverage of 7,12% for the map
19-04-2016 21:17:18:357 - I: 	Player PlayerEntity(X:15, Y:10, Key:B) has a movement coverage of 7,83% for the map
19-04-2016 21:17:18:357 - I: 	Player PlayerEntity(X:16, Y:8, Key:D) has a movement coverage of 6,41% for the map
19-04-2016 21:17:18:357 - D: 	Round processing complete
