
19-04-2016 21:16:58:679 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:4, Y:4, Key:A)
19-04-2016 21:16:58:956 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:14, Key:B)
19-04-2016 21:16:59:185 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:7, Y:16, Key:C)
19-04-2016 21:16:59:416 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:5, Key:D)
19-04-2016 21:16:59:416 - D: 	Beginning round processing
19-04-2016 21:16:59:416 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:59:416 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:59:416 - D: 	Detonating Bombs
19-04-2016 21:16:59:416 - I: 	Detonating Bomb BombEntity(X:5, Y:6, Radius:1, Timer:0, Owner:A)
19-04-2016 21:16:59:416 - D: 	Processing Player Commands
19-04-2016 21:16:59:416 - D: 	Applying player power ups
19-04-2016 21:16:59:416 - D: 	Destroying marked entities
19-04-2016 21:16:59:416 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:6)
19-04-2016 21:16:59:416 - I: 	Player PlayerEntity(X:5, Y:4, Key:A) has a movement coverage of 3,91% for the map
19-04-2016 21:16:59:416 - I: 	Player PlayerEntity(X:18, Y:14, Key:B) has a movement coverage of 4,63% for the map
19-04-2016 21:16:59:416 - I: 	Player PlayerEntity(X:7, Y:16, Key:C) has a movement coverage of 4,98% for the map
19-04-2016 21:16:59:416 - I: 	Player PlayerEntity(X:16, Y:6, Key:D) has a movement coverage of 4,98% for the map
19-04-2016 21:16:59:416 - D: 	Round processing complete
