
19-04-2016 21:19:04:993 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:16, Key:A)
19-04-2016 21:19:05:217 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:8, Key:D)
19-04-2016 21:19:05:217 - D: 	Beginning round processing
19-04-2016 21:19:05:217 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:05:217 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:05:217 - D: 	Detonating Bombs
19-04-2016 21:19:05:217 - D: 	Processing Player Commands
19-04-2016 21:19:05:217 - D: 	Applying player power ups
19-04-2016 21:19:05:217 - D: 	Destroying marked entities
19-04-2016 21:19:05:218 - I: 	Player PlayerEntity(X:6, Y:17, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:05:218 - I: 	Player PlayerEntity(X:6, Y:9, Key:D) has a movement coverage of 29,54% for the map
19-04-2016 21:19:05:218 - D: 	Round processing complete
