
19-04-2016 21:18:45:174 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:6, Y:19, Key:A)
19-04-2016 21:18:45:458 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:12, Key:D)
19-04-2016 21:18:45:458 - D: 	Beginning round processing
19-04-2016 21:18:45:458 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:45:458 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:45:458 - D: 	Detonating Bombs
19-04-2016 21:18:45:458 - D: 	Processing Player Commands
19-04-2016 21:18:45:458 - D: 	Applying player power ups
19-04-2016 21:18:45:458 - D: 	Destroying marked entities
19-04-2016 21:18:45:458 - I: 	Player PlayerEntity(X:6, Y:19, Key:A) has a movement coverage of 22,42% for the map
19-04-2016 21:18:45:458 - I: 	Player PlayerEntity(X:2, Y:12, Key:D) has a movement coverage of 23,84% for the map
19-04-2016 21:18:45:458 - D: 	Round processing complete
