
19-04-2016 21:19:00:548 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:9, Key:A)
19-04-2016 21:19:00:832 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:4, Key:D)
19-04-2016 21:19:00:832 - D: 	Beginning round processing
19-04-2016 21:19:00:832 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:00:832 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:00:832 - D: 	Detonating Bombs
19-04-2016 21:19:00:832 - D: 	Processing Player Commands
19-04-2016 21:19:00:832 - D: 	Applying player power ups
19-04-2016 21:19:00:832 - D: 	Destroying marked entities
19-04-2016 21:19:00:833 - I: 	Player PlayerEntity(X:6, Y:10, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:00:833 - I: 	Player PlayerEntity(X:6, Y:5, Key:D) has a movement coverage of 29,18% for the map
19-04-2016 21:19:00:833 - D: 	Round processing complete
