
19-04-2016 21:17:47:388 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:6, Y:12, Key:A)
19-04-2016 21:17:47:614 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:6, Y:16, Key:B)
19-04-2016 21:17:47:889 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:14, Y:10, Key:D)
19-04-2016 21:17:47:889 - D: 	Beginning round processing
19-04-2016 21:17:47:889 - D: 	Removing Bomb Explosions from map
19-04-2016 21:17:47:889 - D: 	Decreasing Bomb Timers
19-04-2016 21:17:47:889 - D: 	Detonating Bombs
19-04-2016 21:17:47:889 - I: 	Detonating Bomb BombEntity(X:6, Y:18, Radius:2, Timer:0, Owner:B)
19-04-2016 21:17:47:889 - D: 	Processing Player Commands
19-04-2016 21:17:47:889 - I: 	Player PlayerEntity(X:6, Y:16, Key:B) has been killed, and the command MovementCommand(Right) will be ignored
19-04-2016 21:17:47:889 - D: 	Applying player power ups
19-04-2016 21:17:47:889 - D: 	Destroying marked entities
19-04-2016 21:17:47:889 - D: 	Destroyed Entity PlayerEntity(X:6, Y:16, Key:B)
19-04-2016 21:17:47:889 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:19)
19-04-2016 21:17:47:889 - I: 	Player PlayerEntity(X:7, Y:12, Key:A) has a movement coverage of 11,39% for the map
19-04-2016 21:17:47:889 - I: 	Player PlayerEntity(X:14, Y:10, Key:D) has a movement coverage of 9,61% for the map
19-04-2016 21:17:47:889 - D: 	Round processing complete
