
19-04-2016 21:19:04:429 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:15, Key:A)
19-04-2016 21:19:04:669 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:7, Y:8, Key:D)
19-04-2016 21:19:04:669 - D: 	Beginning round processing
19-04-2016 21:19:04:669 - D: 	Removing Bomb Explosions from map
19-04-2016 21:19:04:669 - D: 	Decreasing Bomb Timers
19-04-2016 21:19:04:669 - D: 	Detonating Bombs
19-04-2016 21:19:04:669 - D: 	Processing Player Commands
19-04-2016 21:19:04:669 - D: 	Applying player power ups
19-04-2016 21:19:04:669 - D: 	Destroying marked entities
19-04-2016 21:19:04:669 - I: 	Player PlayerEntity(X:6, Y:16, Key:A) has a movement coverage of 23,49% for the map
19-04-2016 21:19:04:669 - I: 	Player PlayerEntity(X:6, Y:8, Key:D) has a movement coverage of 29,54% for the map
19-04-2016 21:19:04:669 - D: 	Round processing complete
