
19-04-2016 21:16:45:287 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:6, Key:A)
19-04-2016 21:16:45:567 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:18, Key:B)
19-04-2016 21:16:45:794 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:5, Y:16, Key:C)
19-04-2016 21:16:46:080 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:4, Key:D)
19-04-2016 21:16:46:080 - D: 	Beginning round processing
19-04-2016 21:16:46:080 - D: 	Removing Bomb Explosions from map
19-04-2016 21:16:46:080 - D: 	Decreasing Bomb Timers
19-04-2016 21:16:46:080 - D: 	Detonating Bombs
19-04-2016 21:16:46:080 - D: 	Processing Player Commands
19-04-2016 21:16:46:080 - D: 	Applying player power ups
19-04-2016 21:16:46:080 - D: 	Destroying marked entities
19-04-2016 21:16:46:080 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 2,85% for the map
19-04-2016 21:16:46:080 - I: 	Player PlayerEntity(X:18, Y:17, Key:B) has a movement coverage of 2,85% for the map
19-04-2016 21:16:46:080 - I: 	Player PlayerEntity(X:5, Y:16, Key:C) has a movement coverage of 2,85% for the map
19-04-2016 21:16:46:080 - I: 	Player PlayerEntity(X:18, Y:5, Key:D) has a movement coverage of 2,85% for the map
19-04-2016 21:16:46:080 - D: 	Round processing complete
