
19-04-2016 21:18:17:013 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:9, Y:12, Key:A)
19-04-2016 21:18:17:313 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:14, Key:D)
19-04-2016 21:18:17:313 - D: 	Beginning round processing
19-04-2016 21:18:17:313 - D: 	Removing Bomb Explosions from map
19-04-2016 21:18:17:313 - D: 	Decreasing Bomb Timers
19-04-2016 21:18:17:313 - D: 	Detonating Bombs
19-04-2016 21:18:17:313 - D: 	Processing Player Commands
19-04-2016 21:18:17:313 - D: 	Applying player power ups
19-04-2016 21:18:17:313 - D: 	Destroying marked entities
19-04-2016 21:18:17:314 - I: 	Player PlayerEntity(X:8, Y:12, Key:A) has a movement coverage of 15,66% for the map
19-04-2016 21:18:17:314 - I: 	Player PlayerEntity(X:14, Y:15, Key:D) has a movement coverage of 16,01% for the map
19-04-2016 21:18:17:314 - D: 	Round processing complete
